"schema","table_name","policy_name","permissive","roles","cmd","qual","with_check","classification","expected","difference"
"public","daily_reports","daily_reports_select_for_staff","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_reports","daily_reports_update_for_staff","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","email_logs","service_role_full_access_logs","PERMISSIVE","{public}","ALL","(auth.role() = 'service_role'::text)","(auth.role() = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","email_outbox","service_role_full_access_outbox","PERMISSIVE","{public}","ALL","(auth.role() = 'service_role'::text)","(auth.role() = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","improvement_backlog","Admins can manage backlog","PERMISSIVE","{public}","ALL","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND ((profiles.role)::text = 'admin'::text))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","improvement_backlog","Users can view backlog","PERMISSIVE","{public}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","improvement_backlog","improvement_backlog_admin_all","PERMISSIVE","{public}","ALL","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND ((profiles.role)::text = 'admin'::text))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","improvement_backlog","improvement_backlog_authenticated_select","PERMISSIVE","{public}","SELECT","(( SELECT auth.role() AS role) = 'authenticated'::text)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_items","insurance_fee_items_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_revision_diffs","insurance_fee_revision_diffs_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_schedules","insurance_fee_schedules_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_source_snapshots","insurance_fee_source_snapshots_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_sources","insurance_fee_sources_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_warning_definitions","insurance_fee_warning_definitions_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","manager_clinic_assignments","manager_clinic_assignments_delete_admin_only","PERMISSIVE","{authenticated}","DELETE","(app_private.get_current_role() = 'admin'::text)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","manager_clinic_assignments","manager_clinic_assignments_insert_admin_only","PERMISSIVE","{authenticated}","INSERT",,"(app_private.get_current_role() = 'admin'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","manager_clinic_assignments","manager_clinic_assignments_select_admin_or_self_active","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = 'admin'::text) OR ((manager_user_id = auth.uid()) AND (revoked_at IS NULL)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","manager_clinic_assignments","manager_clinic_assignments_update_admin_only","PERMISSIVE","{authenticated}","UPDATE","(app_private.get_current_role() = 'admin'::text)","(app_private.get_current_role() = 'admin'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
