"schema","signature","function_name","identity_arguments","result_type","owner","language","security_definer","volatility","config","grantee","can_execute","runtime_callers","classification","expected","difference"
"public","expire_line_setup_sessions(uuid)","expire_line_setup_sessions","p_clinic_id uuid","integer","postgres","plpgsql","false","v","search_path=pg_catalog, public","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_chat_outbox(uuid,uuid,uuid,boolean,text,text)","finalize_line_chat_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_succeeded boolean, p_line_message_id text, p_error_code text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","anon","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_chat_outbox(uuid,uuid,uuid,boolean,text,text)","finalize_line_chat_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_succeeded boolean, p_line_message_id text, p_error_code text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_chat_outbox(uuid,uuid,uuid,boolean,text,text)","finalize_line_chat_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_succeeded boolean, p_line_message_id text, p_error_code text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_chat_outbox(uuid,uuid,uuid,boolean,text,text)","finalize_line_chat_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_succeeded boolean, p_line_message_id text, p_error_code text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_notification_outbox(uuid,uuid,uuid,text,timestamp with time zone,text,timestamp with time zone)","finalize_line_notification_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text, p_next_attempt_at timestamp with time zone","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","anon","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_notification_outbox(uuid,uuid,uuid,text,timestamp with time zone,text,timestamp with time zone)","finalize_line_notification_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text, p_next_attempt_at timestamp with time zone","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_notification_outbox(uuid,uuid,uuid,text,timestamp with time zone,text,timestamp with time zone)","finalize_line_notification_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text, p_next_attempt_at timestamp with time zone","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_notification_outbox(uuid,uuid,uuid,text,timestamp with time zone,text,timestamp with time zone)","finalize_line_notification_outbox","p_clinic_id uuid, p_outbox_id uuid, p_claim_token uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text, p_next_attempt_at timestamp with time zone","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_setup_verification(uuid,uuid,uuid,text,text,boolean)","finalize_line_setup_verification","p_clinic_id uuid, p_setup_session_id uuid, p_claim_token uuid, p_public_key_kid text, p_encrypted_verification_payload text, p_provider_identity_verified boolean","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","anon","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_setup_verification(uuid,uuid,uuid,text,text,boolean)","finalize_line_setup_verification","p_clinic_id uuid, p_setup_session_id uuid, p_claim_token uuid, p_public_key_kid text, p_encrypted_verification_payload text, p_provider_identity_verified boolean","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_setup_verification(uuid,uuid,uuid,text,text,boolean)","finalize_line_setup_verification","p_clinic_id uuid, p_setup_session_id uuid, p_claim_token uuid, p_public_key_kid text, p_encrypted_verification_payload text, p_provider_identity_verified boolean","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_line_setup_verification(uuid,uuid,uuid,text,text,boolean)","finalize_line_setup_verification","p_clinic_id uuid, p_setup_session_id uuid, p_claim_token uuid, p_public_key_kid text, p_encrypted_verification_payload text, p_provider_identity_verified boolean","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_staff_availability_delivery(uuid,uuid,uuid,text,timestamp with time zone,text)","finalize_staff_availability_delivery","p_clinic_id uuid, p_outbox_id uuid, p_notification_id uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","anon","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_staff_availability_delivery(uuid,uuid,uuid,text,timestamp with time zone,text)","finalize_staff_availability_delivery","p_clinic_id uuid, p_outbox_id uuid, p_notification_id uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_staff_availability_delivery(uuid,uuid,uuid,text,timestamp with time zone,text)","finalize_staff_availability_delivery","p_clinic_id uuid, p_outbox_id uuid, p_notification_id uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","finalize_staff_availability_delivery(uuid,uuid,uuid,text,timestamp with time zone,text)","finalize_staff_availability_delivery","p_clinic_id uuid, p_outbox_id uuid, p_notification_id uuid, p_status text, p_sent_at timestamp with time zone, p_last_error text","void","postgres","plpgsql","false","v","search_path=pg_catalog, public","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float4_dist(real,real)","float4_dist","real, real","real","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float4_dist(real,real)","float4_dist","real, real","real","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float4_dist(real,real)","float4_dist","real, real","real","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float4_dist(real,real)","float4_dist","real, real","real","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float8_dist(double precision,double precision)","float8_dist","double precision, double precision","double precision","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float8_dist(double precision,double precision)","float8_dist","double precision, double precision","double precision","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float8_dist(double precision,double precision)","float8_dist","double precision, double precision","double precision","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","float8_dist(double precision,double precision)","float8_dist","double precision, double precision","double precision","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_compress(internal)","gbt_bit_compress","internal","internal","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_compress(internal)","gbt_bit_compress","internal","internal","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_compress(internal)","gbt_bit_compress","internal","internal","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_compress(internal)","gbt_bit_compress","internal","internal","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_consistent(internal,bit,smallint,oid,internal)","gbt_bit_consistent","internal, bit, smallint, oid, internal","boolean","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_consistent(internal,bit,smallint,oid,internal)","gbt_bit_consistent","internal, bit, smallint, oid, internal","boolean","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_consistent(internal,bit,smallint,oid,internal)","gbt_bit_consistent","internal, bit, smallint, oid, internal","boolean","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_consistent(internal,bit,smallint,oid,internal)","gbt_bit_consistent","internal, bit, smallint, oid, internal","boolean","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_penalty(internal,internal,internal)","gbt_bit_penalty","internal, internal, internal","internal","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_penalty(internal,internal,internal)","gbt_bit_penalty","internal, internal, internal","internal","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_penalty(internal,internal,internal)","gbt_bit_penalty","internal, internal, internal","internal","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_penalty(internal,internal,internal)","gbt_bit_penalty","internal, internal, internal","internal","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_picksplit(internal,internal)","gbt_bit_picksplit","internal, internal","internal","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_picksplit(internal,internal)","gbt_bit_picksplit","internal, internal","internal","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_picksplit(internal,internal)","gbt_bit_picksplit","internal, internal","internal","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
